Location,Address,Resolved Address,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Cloud Cover,Relative Humidity,Conditions
,"30308, USA",,10/01/2018,84.2,69.7,75.5,,85,0,,8.2,,44.8,72.99,Partially cloudy
,"30308, USA",,10/02/2018,84.8,64.2,74,,85.5,0,,4.9,,17.3,71.22,Clear
,"30308, USA",,10/03/2018,87,65,75.3,,87.6,0,,5.7,,20.2,71.84,Clear
,"30308, USA",,10/04/2018,88.5,66.3,76.9,,90.1,0,,8.3,,8.6,71.33,Clear
,"30308, USA",,10/05/2018,90.5,67.1,78.2,,92.2,0,,6.3,,19.7,71.3,Clear
,"30308, USA",,10/06/2018,89.5,69.2,78.1,,91,0,,7.7,,20.8,73.06,Clear
,"30308, USA",,10/07/2018,87.2,69.5,77.7,,88.6,0,,8.5,,41.9,69.45,Partially cloudy
,"30308, USA",,10/08/2018,83.5,71.2,77,,86.6,0,,11.7,,55.9,73.41,Partially cloudy
,"30308, USA",,10/09/2018,80,70.6,74.4,,82.8,0.1,,14.9,,90.6,82.59,"Rain, Overcast"
,"30308, USA",,10/10/2018,81.7,71.5,75,,85.9,2.5,,16.4,40.3,94.3,90.54,"Rain, Overcast"
,"30308, USA",,10/11/2018,79.1,61.9,72.7,,,2.1,,19.3,35.6,59.9,76.43,"Rain, Partially cloudy"
,"30308, USA",,10/12/2018,72.8,51.2,60.7,,,0,,13.9,,8,61.6,Clear
,"30308, USA",,10/13/2018,72.4,54.6,61.8,,,0,,10.4,,24,67.74,Clear
,"30308, USA",,10/14/2018,79.3,57.3,66.7,,,0,,8.8,,29.1,71.75,Partially cloudy
,"30308, USA",,10/15/2018,80.5,61.5,69.3,,83,0,,6.4,,51.5,85.51,Partially cloudy
,"30308, USA",,10/16/2018,81,66.4,71.2,,84,0,,10.7,,68.9,85.24,Partially cloudy
,"30308, USA",,10/17/2018,73.3,60.7,66.1,,,0,,10.8,,57.6,71.91,Partially cloudy
,"30308, USA",,10/18/2018,72.6,53.4,62.1,,,0,,8.4,,18.3,60.82,Clear
,"30308, USA",,10/19/2018,65.4,51.9,59.1,,,0,,6.7,,53.9,73.59,Partially cloudy
,"30308, USA",,10/20/2018,66.5,57.5,62.7,,,0.2,,11.4,,78.4,85.45,"Rain, Overcast"
,"30308, USA",,10/21/2018,63.3,41.6,53.1,36.6,,0,,14.1,31.1,2.9,50.75,Clear
,"30308, USA",,10/22/2018,65.6,39.1,51,,,0,,8.3,,14.4,66.57,Clear
,"30308, USA",,10/23/2018,67.6,47.8,56.1,,,0,,7,,27.1,69.8,Partially cloudy
,"30308, USA",,10/24/2018,71.9,42.4,56.9,47.3,,0,,8.8,,19.3,68.17,Clear
,"30308, USA",,10/25/2018,57,48.5,54.3,44,,0.1,,11,,56.2,68.12,"Rain, Partially cloudy"
,"30308, USA",,10/26/2018,51.6,47.5,49.2,42.7,,0.7,,13.6,,100,95.81,"Rain, Overcast"
,"30308, USA",,10/27/2018,58.3,51.2,54.3,,,0,,14,,96.1,82.39,Overcast
,"30308, USA",,10/28/2018,72.4,43.3,57.8,44.2,,0,,13.2,,15.8,76.16,Clear
,"30308, USA",,10/29/2018,69.5,48.7,58.9,48.3,,0,,12,,8.1,57.91,Clear
,"30308, USA",,10/30/2018,70.6,42.4,55.1,,,0,,7.7,,12,67.83,Clear
,"30308, USA",,10/31/2018,76.3,49.3,61.1,,,0,,9.1,,29.6,74.84,Partially cloudy
,"30308, USA",,11/01/2018,68.9,60.7,63.2,,,0.4,,11.8,,68.7,88.3,"Rain, Partially cloudy"
,"30308, USA",,11/02/2018,62.5,44,56.4,41.6,,0.1,,15.2,29.8,88.9,86.07,"Rain, Overcast"
,"30308, USA",,11/03/2018,63.2,39.4,49.7,37.8,,0,,6.8,,5.8,76.28,Clear
,"30308, USA",,11/04/2018,64.7,42,53.8,39.5,,0,,12.3,,46.3,73.95,Partially cloudy
